og_distance,og_popularity,d_shock_0.9,d_shock_0.91,d_shock_0.92,d_shock_0.93,d_shock_0.94,d_shock_0.95,d_shock_0.96,d_shock_0.97,d_shock_0.98,d_shock_0.99
6.65929,-24.2232,-1.94817e-11,-1.95148e-11,-1.95413e-11,-1.95617e-11,-1.95781e-11,-1.95912e-11,-1.96012e-11,-1.96094e-11,-1.96159e-11,-1.9621e-11
6.58271,-22.5051,-1.89624e-11,-1.91083e-11,-1.92255e-11,-1.93201e-11,-1.9396e-11,-1.94575e-11,-1.95068e-11,-1.95466e-11,-1.95786e-11,-1.96043e-11
6.49224,-20.6301,-1.61391e-11,-1.68656e-11,-1.74616e-11,-1.79505e-11,-1.83515e-11,-1.86806e-11,-1.89506e-11,-1.9172e-11,-1.93539e-11,-1.95026e-11
6.06997,-13.652,4.76771e-09,3.94274e-09,3.21823e-09,2.58211e-09,2.02396e-09,1.32436e-09,9.67367e-10,6.01504e-10,3.50139e-10,1.29371e-10
6.98626,-33.122,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.85508,-29.0641,-1.96232e-11,-1.96236e-11,-1.96241e-11,-1.96243e-11,-1.96243e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11
4.89906,-4.70573,7.02652e-06,6.19128e-06,5.38866e-06,4.61738e-06,3.87623e-06,3.16405e-06,2.47971e-06,1.82214e-06,1.1903e-06,5.83185e-07
7.02758,-34.502,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
5.72339,-10.0199,1.13152e-07,9.66094e-08,8.15175e-08,6.77489e-08,5.51877e-08,4.37279e-08,3.3273e-08,2.37345e-08,1.50325e-08,7.0914e-09
5.95113,-12.2112,1.68052e-08,1.41071e-08,1.17012e-08,9.55864e-09,7.64958e-09,5.94881e-09,4.43098e-09,3.07838e-09,1.86733e-09,6.59125e-10
6.41654,-19.2004,-1.5749e-11,-9.74598e-12,-1.17955e-11,-1.35012e-11,-1.4921e-11,-1.61027e-11,-1.70861e-11,-1.79048e-11,-1.8586e-11,-1.91531e-11
5.53953,-8.48042,4.02508e-07,3.47079e-07,2.95723e-07,2.48143e-07,2.04059e-07,1.63215e-07,1.25374e-07,9.03143e-08,5.78319e-08,2.7736e-08
6.06997,-13.8238,4.31992e-09,3.56987e-09,2.91092e-09,2.33219e-09,1.8243e-09,1.20385e-09,8.06662e-10,5.44817e-10,3.14845e-10,1.01874e-10
6.31567,-17.2795,9.41465e-11,6.41842e-11,3.7703e-11,1.9126e-11,3.38951e-12,-9.94049e-12,-2.12321e-11,-2.05891e-11,-2.68738e-11,-1.69751e-11
6.76311,-26.8035,-1.96105e-11,-1.96141e-11,-1.9617e-11,-1.9619e-11,-1.96207e-11,-1.96219e-11,-1.9623e-11,-1.96236e-11,-1.96243e-11,-1.96247e-11
7.03181,-34.5655,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
7.07485,-36.1783,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
5.8998,-11.7929,2.53176e-08,2.13486e-08,1.77912e-08,1.46026e-08,1.17448e-08,9.1835e-09,6.88566e-09,4.82524e-09,2.97988e-09,1.15962e-09
7.11921,-37.7944,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.12457,-14.5302,2.25886e-09,1.84258e-09,1.28935e-09,1.02677e-09,7.97838e-10,5.98229e-10,3.92278e-10,2.5364e-10,1.32762e-10,2.7891e-11
6.31567,-17.3573,8.53921e-11,5.95275e-11,3.76179e-11,1.90585e-11,3.33733e-12,-4.44045e-12,-1.3191e-11,-2.06037e-11,-1.38516e-11,-1.69771e-11
7.11566,-37.7508,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
5.51095,-8.26485,4.7934e-07,4.13885e-07,3.53109e-07,2.96679e-07,2.44283e-07,1.95634e-07,1.50463e-07,1.08523e-07,6.9582e-08,3.34246e-08
5.48064,-8.04311,5.73225e-07,4.95629e-07,4.2342e-07,3.56225e-07,2.93696e-07,2.35508e-07,1.81361e-07,1.30975e-07,8.40874e-08,4.04552e-08
6.70452,-25.3261,-1.9571e-11,-1.95837e-11,-1.95939e-11,-1.96017e-11,-1.96079e-11,-1.96128e-11,-1.96165e-11,-1.96194e-11,-1.96219e-11,-1.96234e-11
6.24638,-16.3273,3.23042e-10,2.52436e-10,1.91959e-10,1.25479e-10,8.70966e-11,5.42202e-11,2.60596e-11,4.865e-12,-1.11846e-11,-1.26907e-11
5.70378,-9.83032,1.32589e-07,1.13338e-07,9.57429e-08,7.9663e-08,6.49667e-08,5.15352e-08,3.92597e-08,2.80406e-08,1.77865e-08,8.41373e-09
6.34425,-17.8379,3.82472e-11,2.10243e-11,6.50502e-12,-5.73497e-12,-1.60538e-11,-1.58999e-11,-2.15881e-11,-2.63836e-11,-1.59339e-11,-1.79368e-11
5.77799,-10.5372,7.33768e-08,6.24335e-08,5.2501e-08,4.34859e-08,3.53036e-08,2.7877e-08,2.11365e-08,1.50181e-08,9.46514e-09,4.42235e-09
6.81121,-27.911,-1.96199e-11,-1.96212e-11,-1.96221e-11,-1.9623e-11,-1.96234e-11,-1.96241e-11,-1.96243e-11,-1.96245e-11,-1.96247e-11,-1.96247e-11
6.05036,-13.5716,5.40514e-09,4.48167e-09,3.66836e-09,2.95224e-09,2.322e-09,1.76798e-09,1.12049e-09,7.01173e-10,4.12856e-10,1.41778e-10
6.52036,-21.2076,-1.753e-11,-1.79741e-11,-1.8336e-11,-1.86315e-11,-1.88725e-11,-1.90692e-11,-1.92293e-11,-1.93603e-11,-1.94671e-11,-1.95541e-11
6.58615,-22.5914,-1.90101e-11,-1.9146e-11,-1.92548e-11,-1.93425e-11,-1.94134e-11,-1.94702e-11,-1.95157e-11,-1.95524e-11,-1.95821e-11,-1.96059e-11
6.47114,-20.0723,-1.4273e-11,-1.53748e-11,-1.62823e-11,-1.70299e-11,-1.76457e-11,-1.8153e-11,-1.85711e-11,-1.89153e-11,-1.91989e-11,-1.94325e-11
6.18154,-15.1976,9.94387e-10,7.40159e-10,5.91078e-10,4.62136e-10,3.50611e-10,2.54151e-10,1.70721e-10,8.93428e-11,3.54126e-11,-5.41123e-12
6.23957,-16.2079,3.65515e-10,2.87441e-10,2.20497e-10,1.63095e-10,1.13875e-10,6.62035e-11,3.4909e-11,8.07576e-12,-8.25429e-12,-2.35727e-11
6.24638,-16.1696,3.54355e-10,2.78045e-10,2.12682e-10,1.56695e-10,9.81371e-11,6.26432e-11,3.22407e-11,6.19971e-12,-9.19176e-12,-1.21643e-11
6.47543,-20.293,-1.49587e-11,-1.59217e-11,-1.67144e-11,-1.73668e-11,-1.79039e-11,-1.83455e-11,-1.87095e-11,-1.90088e-11,-1.9255e-11,-1.9458e-11
6.49224,-20.6396,-1.61657e-11,-1.68865e-11,-1.7478e-11,-1.79632e-11,-1.83613e-11,-1.86877e-11,-1.89557e-11,-1.91753e-11,-1.93559e-11,-1.95037e-11
6.80239,-27.8096,-1.96192e-11,-1.96207e-11,-1.96219e-11,-1.96227e-11,-1.96234e-11,-1.96239e-11,-1.96243e-11,-1.96243e-11,-1.96247e-11,-1.96247e-11
6.33866,-17.7854,4.22473e-11,2.30935e-11,8.20166e-12,-4.36429e-12,-1.4968e-11,-2.39155e-11,-2.10953e-11,-2.60409e-11,-3.02143e-11,-1.78773e-11
6.58271,-22.3604,-1.89191e-11,-1.90743e-11,-1.91995e-11,-1.93001e-11,-1.93812e-11,-1.94464e-11,-1.94991e-11,-1.95415e-11,-1.95755e-11,-1.9603e-11
6.67099,-24.4371,-1.95057e-11,-1.95335e-11,-1.95552e-11,-1.95726e-11,-1.95861e-11,-1.9597e-11,-1.96057e-11,-1.96123e-11,-1.96176e-11,-1.96216e-11
6.34425,-17.9066,3.24945e-11,1.63745e-11,2.78488e-12,-3.38929e-12,-1.08888e-11,-1.72111e-11,-1.12881e-11,-1.39324e-11,-1.61613e-11,-1.80407e-11
6.24638,-16.1697,3.54354e-10,2.78044e-10,2.12681e-10,1.56694e-10,9.81368e-11,6.26432e-11,3.22407e-11,6.19949e-12,-9.19176e-12,-2.40123e-11
5.70378,-9.84372,1.3105e-07,1.12023e-07,9.46327e-08,7.87392e-08,6.42134e-08,5.09376e-08,3.88045e-08,2.77152e-08,1.75801e-08,8.31566e-09
7.04017,-34.8386,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.87469,-29.851,-1.96241e-11,-1.96243e-11,-1.96245e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11,-1.96252e-11
6.47114,-20.2298,-1.46507e-11,-1.56748e-11,-1.65181e-11,-1.72129e-11,-1.77853e-11,-1.8257e-11,-1.86453e-11,-1.89655e-11,-1.92291e-11,-1.94462e-11
6.93443,-31.4115,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
4.89906,-4.84584,6.52293e-06,5.74746e-06,5.00228e-06,4.28622e-06,3.59817e-06,2.93703e-06,2.30176e-06,1.69135e-06,1.10484e-06,5.41308e-07
6.55434,-21.8985,-1.84908e-11,-1.87361e-11,-1.89349e-11,-1.90958e-11,-1.92262e-11,-1.93316e-11,-1.94171e-11,-1.94866e-11,-1.95426e-11,-1.95881e-11
6.70452,-25.3232,-1.95708e-11,-1.95837e-11,-1.95937e-11,-1.96017e-11,-1.96079e-11,-1.96128e-11,-1.96165e-11,-1.96194e-11,-1.96219e-11,-1.96234e-11
6.70452,-25.3216,-1.95708e-11,-1.95837e-11,-1.95937e-11,-1.96017e-11,-1.96079e-11,-1.96128e-11,-1.96165e-11,-1.96194e-11,-1.96219e-11,-1.96234e-11
5.8998,-11.7722,2.56111e-08,2.15962e-08,1.79976e-08,1.47722e-08,1.18813e-08,9.29049e-09,6.96608e-09,4.88189e-09,3.0153e-09,1.17335e-09
6.3817,-18.49,-9.25038e-13,-5.10481e-12,-1.1545e-11,-1.69387e-11,-2.14562e-11,-1.28857e-11,-1.4748e-11,-1.63078e-11,-1.76144e-11,-1.87086e-11
7.03181,-34.6312,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
7.07226,-35.9676,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
5.85752,-11.1812,4.05489e-08,3.4309e-08,2.86908e-08,2.36326e-08,1.90774e-08,1.49773e-08,1.12847e-08,7.96024e-09,4.96851e-09,2.26636e-09
5.70378,-9.84355,1.31048e-07,1.12021e-07,9.46314e-08,7.87381e-08,6.42125e-08,5.09369e-08,3.8804e-08,2.77148e-08,1.75799e-08,8.31555e-09
6.28536,-16.9229,1.64273e-10,1.2175e-10,7.82123e-11,5.15605e-11,2.88725e-11,9.55769e-12,-2.00173e-12,-1.28713e-11,-1.10427e-11,-1.56786e-11
6.4019,-18.913,-9.92517e-12,-1.52252e-11,-1.96483e-11,-1.17579e-11,-1.35709e-11,-1.50835e-11,-1.6346e-11,-1.73996e-11,-1.82789e-11,-1.90126e-11
6.55067,-21.8211,-1.84106e-11,-1.86726e-11,-1.88851e-11,-1.90572e-11,-1.91969e-11,-1.93099e-11,-1.94018e-11,-1.94762e-11,-1.95366e-11,-1.95854e-11
5.24564,-6.53571,1.88262e-06,1.6427e-06,1.41603e-06,1.20187e-06,9.99549e-07,8.084e-07,6.27808e-07,4.57194e-07,2.96005e-07,1.43724e-07
6.28536,-16.9039,1.66645e-10,1.23681e-10,8.71059e-11,5.59697e-11,2.94638e-11,1.01779e-11,-6.4313e-12,-2.05704e-11,-2.19815e-11,-2.99358e-11
6.47543,-20.2319,-1.46532e-11,-1.5679e-11,-1.65237e-11,-1.72187e-11,-1.77909e-11,-1.82618e-11,-1.86495e-11,-1.89684e-11,-1.92311e-11,-1.94471e-11
6.49636,-20.7237,-1.641e-11,-1.70819e-11,-1.76321e-11,-1.80835e-11,-1.84535e-11,-1.87566e-11,-1.90052e-11,-1.92091e-11,-1.93758e-11,-1.95128e-11
6.23268,-16.1172,4.01188e-10,3.1693e-10,2.44607e-10,1.62133e-10,1.16038e-10,7.64719e-11,4.25102e-11,1.37377e-11,-5.70055e-12,-1.1191e-11
6.99842,-33.5184,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.80239,-27.8435,-1.96194e-11,-1.96207e-11,-1.96219e-11,-1.96227e-11,-1.96234e-11,-1.96239e-11,-1.96243e-11,-1.96243e-11,-1.96247e-11,-1.96247e-11
5.8998,-11.7926,2.53142e-08,2.13458e-08,1.77888e-08,1.46007e-08,1.17432e-08,9.18226e-09,6.88473e-09,4.82457e-09,2.97946e-09,1.15943e-09
5.70378,-9.84071,1.31253e-07,1.12196e-07,9.47792e-08,7.88609e-08,6.43126e-08,5.10162e-08,3.88643e-08,2.77578e-08,1.76072e-08,8.32856e-09
6.75585,-26.6135,-1.96079e-11,-1.96119e-11,-1.96152e-11,-1.96179e-11,-1.96199e-11,-1.96212e-11,-1.96225e-11,-1.96234e-11,-1.96241e-11,-1.96245e-11
5.93878,-12.2282,1.74328e-08,1.46492e-08,1.21651e-08,9.94815e-09,7.96985e-09,6.20471e-09,4.62618e-09,3.21633e-09,1.96017e-09,6.96732e-10
5.24564,-6.51516,1.9048e-06,1.66205e-06,1.43271e-06,1.21604e-06,1.01133e-06,8.17923e-07,6.35203e-07,4.62578e-07,2.99491e-07,1.45414e-07
5.82721,-11.0219,4.87182e-08,4.13121e-08,3.4623e-08,2.85813e-08,2.31245e-08,1.81961e-08,1.37434e-08,9.72378e-09,6.08888e-09,2.80087e-09
6.06997,-13.8101,4.37142e-09,3.61262e-09,2.94599e-09,2.36051e-09,1.84668e-09,1.21828e-09,8.88338e-10,5.51597e-10,3.19067e-10,1.14842e-10
6.90091,-30.4675,-1.96243e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
4.78749,-4.32878,9.57634e-06,8.45876e-06,7.38007e-06,6.33895e-06,5.3341e-06,4.36428e-06,3.42829e-06,2.52495e-06,1.65315e-06,8.11793e-07
6.79343,-27.4284,-1.96172e-11,-1.96194e-11,-1.96207e-11,-1.96219e-11,-1.96227e-11,-1.96234e-11,-1.96239e-11,-1.96243e-11,-1.96245e-11,-1.96247e-11
6.3817,-18.4897,-9.26148e-13,-5.10525e-12,-1.15452e-11,-1.69389e-11,-2.14564e-11,-1.28857e-11,-1.4748e-11,-1.63078e-11,-1.76144e-11,-1.87086e-11
5.51095,-8.26523,4.79259e-07,4.13815e-07,3.53049e-07,2.96629e-07,2.44242e-07,1.95601e-07,1.50438e-07,1.08505e-07,6.95706e-08,3.34192e-08
6.05036,-13.5511,5.46935e-09,4.5351e-09,3.7123e-09,2.98783e-09,2.35024e-09,1.78974e-09,1.134e-09,7.09705e-10,4.18176e-10,1.61488e-10
5.51095,-8.26556,4.79346e-07,4.1389e-07,3.53114e-07,2.96683e-07,2.44286e-07,1.95636e-07,1.50465e-07,1.08524e-07,6.95828e-08,3.3425e-08
7.00587,-33.7755,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.96745,-32.6856,-1.96247e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.7435,-26.1257,-1.96003e-11,-1.96065e-11,-1.9611e-11,-1.96145e-11,-1.96174e-11,-1.96196e-11,-1.96212e-11,-1.96227e-11,-1.96236e-11,-1.96243e-11
6.59632,-22.8131,-1.91203e-11,-1.92324e-11,-1.93223e-11,-1.93945e-11,-1.94522e-11,-1.94988e-11,-1.95362e-11,-1.95661e-11,-1.95901e-11,-1.96094e-11
5.8861,-11.6396,2.88289e-08,2.43373e-08,2.03052e-08,1.66859e-08,1.34356e-08,1.05193e-08,7.90197e-09,5.55042e-09,3.43396e-09,1.34137e-09
7.04429,-34.9206,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
5.8998,-11.6345,2.75602e-08,2.32409e-08,1.93696e-08,1.59e-08,1.27903e-08,1.00035e-08,7.50449e-09,5.26485e-09,3.25464e-09,1.26061e-09
6.92929,-31.2384,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.60956,-23.108,-1.92362e-11,-1.93232e-11,-1.93929e-11,-1.94484e-11,-1.94931e-11,-1.95288e-11,-1.95575e-11,-1.95803e-11,-1.95985e-11,-1.96132e-11
6.72827,-25.8918,-1.95928e-11,-1.96003e-11,-1.96065e-11,-1.96112e-11,-1.9615e-11,-1.96176e-11,-1.96199e-11,-1.96219e-11,-1.96232e-11,-1.96243e-11
6.34425,-17.838,3.82228e-11,2.10045e-11,6.48903e-12,-5.74762e-12,-9.15867e-12,-1.59046e-11,-2.15918e-11,-2.6386e-11,-1.59346e-11,-1.7937e-11
6.17379,-15.2412,1.01617e-09,8.24253e-10,6.06058e-10,4.74576e-10,3.60727e-10,2.62147e-10,1.76788e-10,1.02877e-10,3.78639e-11,-4.46732e-12
6.41654,-18.959,-2.00879e-11,-2.63709e-11,-2.12355e-11,-2.46063e-11,-2.74119e-11,-2.97469e-11,-1.66833e-11,-1.76317e-11,-1.84213e-11,-1.90781e-11
6.58615,-22.5934,-1.9011e-11,-1.91462e-11,-1.92553e-11,-1.9343e-11,-1.94134e-11,-1.94702e-11,-1.95159e-11,-1.95524e-11,-1.95821e-11,-1.96059e-11
5.59221,-8.89129,2.87715e-07,2.4745e-07,2.10298e-07,1.7602e-07,1.44391e-07,1.15209e-07,8.82829e-08,6.34394e-08,4.0517e-08,1.93661e-08
6.72569,-25.6921,-1.95883e-11,-1.95972e-11,-1.96043e-11,-1.96094e-11,-1.96136e-11,-1.9617e-11,-1.96194e-11,-1.96212e-11,-1.9623e-11,-1.96241e-11
6.52811,-21.3466,-1.77864e-11,-1.81777e-11,-1.84965e-11,-1.87563e-11,-1.89677e-11,-1.914e-11,-1.92801e-11,-1.93945e-11,-1.94875e-11,-1.95635e-11
6.18154,-15.3552,8.39488e-10,6.80008e-10,5.42071e-10,4.22767e-10,3.19579e-10,2.3033e-10,1.53137e-10,7.89511e-11,2.89977e-11,-7.67786e-12
6.45804,-19.8956,-2.53266e-11,-2.76517e-11,-1.54317e-11,-1.63636e-11,-1.71332e-11,-1.77689e-11,-1.82938e-11,-1.87272e-11,-1.90852e-11,-1.93809e-11
4.89906,-4.76627,7.08767e-06,6.24519e-06,5.43559e-06,4.6576e-06,3.91e-06,3.19162e-06,2.50133e-06,1.83803e-06,1.20068e-06,5.88274e-07
6.05036,-13.5717,5.40514e-09,4.48167e-09,3.66837e-09,2.95224e-09,2.322e-09,1.76798e-09,1.12049e-09,7.01173e-10,4.12857e-10,1.41779e-10
6.52811,-21.3674,-1.7804e-11,-1.81917e-11,-1.85074e-11,-1.87645e-11,-1.89739e-11,-1.91445e-11,-1.92837e-11,-1.93967e-11,-1.94889e-11,-1.95639e-11
4.89906,-4.86851,6.43709e-06,5.6718e-06,4.93642e-06,4.22978e-06,3.55078e-06,2.89834e-06,2.27144e-06,1.66907e-06,1.09029e-06,5.3418e-07
5.85752,-11.3396,3.72466e-08,3.15139e-08,2.63522e-08,2.17047e-08,1.75203e-08,1.37529e-08,1.03594e-08,7.30331e-09,4.55262e-09,2.07731e-09
6.5085,-20.9684,-1.70344e-11,-1.75797e-11,-1.80254e-11,-1.83897e-11,-1.86877e-11,-1.89315e-11,-1.91309e-11,-1.92937e-11,-1.94271e-11,-1.95359e-11
5.95113,-12.3663,1.54553e-08,1.2972e-08,1.07588e-08,8.7865e-09,7.02898e-09,5.46313e-09,4.06856e-09,2.82228e-09,1.48142e-09,6.05983e-10
6.49636,-20.6434,-1.61693e-11,-1.68912e-11,-1.74829e-11,-1.79681e-11,-1.83658e-11,-1.86915e-11,-1.89586e-11,-1.91778e-11,-1.93574e-11,-1.95044e-11
6.76311,-26.6456,-1.96094e-11,-1.96132e-11,-1.96163e-11,-1.96185e-11,-1.96203e-11,-1.96216e-11,-1.96227e-11,-1.96234e-11,-1.96243e-11,-1.96247e-11
6.34425,-17.916,3.18163e-11,1.58265e-11,2.34657e-12,-3.65152e-12,-1.10922e-11,-1.73646e-11,-1.13514e-11,-1.39755e-11,-1.61877e-11,-1.80527e-11
5.72339,-10.0219,1.12956e-07,9.64426e-08,8.1377e-08,6.76323e-08,5.50928e-08,4.36528e-08,3.3216e-08,2.36939e-08,1.50067e-08,7.07908e-09
5.48064,-8.04312,5.73226e-07,4.95629e-07,4.2342e-07,3.56225e-07,2.93696e-07,2.35508e-07,1.81361e-07,1.30975e-07,8.40875e-08,4.04553e-08
5.13407,-5.85128,3.23895e-06,2.83626e-06,2.45349e-06,2.08964e-06,1.74379e-06,1.41504e-06,1.10257e-06,8.05552e-07,5.23238e-07,2.54898e-07
4.89906,-4.86629,6.44637e-06,5.67998e-06,4.94353e-06,4.23588e-06,3.5559e-06,2.90252e-06,2.27471e-06,1.67147e-06,1.09186e-06,5.34947e-07
4.09434,-2.40369,2.79261e-05,2.49211e-05,2.19653e-05,1.90578e-05,1.61979e-05,1.3385e-05,1.06183e-05,7.89709e-06,5.22074e-06,2.58855e-06
4.09434,-2.64372,2.36039e-05,2.10612e-05,1.85607e-05,1.61017e-05,1.36837e-05,1.13059e-05,8.96786e-06,6.66881e-06,4.4082e-06,2.18541e-06
6.33866,-17.8199,3.90752e-11,2.17457e-11,7.12252e-12,-5.21672e-12,-1.56288e-11,-1.56106e-11,-2.13689e-11,-2.62277e-11,-1.58695e-11,-1.79066e-11
5.24564,-6.53593,1.88264e-06,1.64272e-06,1.41605e-06,1.20189e-06,9.99562e-07,8.08411e-07,6.27816e-07,4.572e-07,2.96009e-07,1.43725e-07
4.44092,-3.38944,1.64895e-05,1.46522e-05,1.28595e-05,1.11102e-05,9.40332e-06,7.73796e-06,6.1131e-06,4.52778e-06,2.98107e-06,1.47206e-06
6.83674,-28.7534,-1.96225e-11,-1.96232e-11,-1.96236e-11,-1.96241e-11,-1.96243e-11,-1.96245e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11
5.77799,-10.5366,7.33884e-08,6.24428e-08,5.25088e-08,4.34924e-08,3.53089e-08,2.78811e-08,2.11396e-08,1.50203e-08,9.46656e-09,4.42305e-09
